Number,Name,Address,Latitude,Longitude
4342,4342 - FLAMMARION MONTRICHET,FLAMMARION MONTRICHET - PLACE LE VERRIER ANGLE BD FLAMMARION ET  BD MONTRICHET,43.305993453766845,5.393678259953781
8246,8246-PARADIS - LORD DUVEEN,PARADIS LORD DUVEEN - 395 RUE PARADIS,43.275618147775035,5.384455147739253
8053,8053-PRADO - PERIER,PRADO PERIER - 127 AVENUE DU PRADO,43.27974214607358,5.387431047255536
3322,3322 - ARENC CHANTERAC,32 rue de Chanterac 13003 Marseille,43.3123370339008,5.3687418043728
913,913 - PLAGE DES DAMES,36 Promenade du grand large 13008,43.240392,5.362533
1275,1275- JULIEN - 3 MAGES,JULIEN 3 MAGES - COURS JULIEN ANGLE RUE DES TROIS MAGES,43.29562159175117,5.382390401095631
8066,8066-MENDES FRANCE HUVEAUNE,MENDES FRANCE HUVEAUNE - AVENUE PEIRRE MENDES FRANCE DEVANT L'ENTREE DU PARC BORELY,43.260217853801166,5.37544360265886
3228,3228 -TOUR LA MARSEILLAISE,Boulevard Mirabeau angle Rue Jean Gaspard Vence,43.313486,5.367227
6187,6187-DELPUECH CORINTHE,DELPUECH CORINTHE - 29 BOULEVARD DELPUECH,43.28292930261343,5.39109605124139
8261,8261- 318 MAZARGUES,318 MAZARGUES - FACE AU 318 AVENUE DE MAZARGUES,43.260699609117914,5.393973899334583
7212,7212-SAINTE - NOTRE DAME,SAINTE NOTRE DAME - 70 RUE SAINTE ANGLE RUE FORT NOTRE DAME,43.291634709693945,5.371370384862697
8202,8202-397 PRADO,397 PRADO - 397 AVENUE DU PRADO,43.26869900851042,5.385552216536626
3321,3321 - BELLE DE MAI FRICHE,BELLE DE MAI FRICHE - ANGLE RUE GUIBAL ET RUE JOBIN,43.30958891338201,5.39024943158741
7151,7151-PASTEUR,PASTEUR - 25 AVENUE PASTEUR,43.290716834278136,5.359258014511654
9259,9259-LANCIER-MARTHELINE,LANCIER MARTHELINE - ANGLE CHEMIN DU LANCIER ET AVENUE DE LA  MARTHELINE,43.24759828978683,5.397126739923842
6253,06253 - ROME SYLVABELLE,angle rue de rome rue sylvabelle,43.290022,5.381324
8310,8310- CANTINI REGE,Avenue Jules Cantini croisement Rue Louis Rège sur parvis,43.281484,5.391515
6154,6154-PIERRE PUGET BRETEUIL,PIERRE PUGET BRETEUIL - COURS PIERRE PUGET ANGLE RUE BRETEUIL,43.290329770206334,5.375548341850035
5284,5284 - BAILLE-HOPITAL-CONCEPTION,BAILLE HOPITAL CONCEPTION - BOULEVARD BAILLE FACE A L'ENTREE PRINCIPALE DE L'HOPITAL DE LA CONCEPTION,43.28936342586655,5.39631317835792
2240,2240-DAMES - TERRAS,DAMES TERRAS - BOULEVARD DES DAMES ANGLE RUE DU TERRAS,43.301805741199246,5.372302255725486
1302,1302-COLBERT -SAINTE BARBE,COLBERT SAINTE BARBE - RUE COLBERT ANGLE RUE SAINTE BARBE,43.29924603474944,5.374740047327954
7026,7026-CATALANS CORNICHE,CATALANS CORNICHE - 69 CORNICHE J.F. KENNEDY ANGLE RUE DES CATALANS,43.28985620147398,5.355962903211387
1002,1002-HOTEL DE VILLE,HOTEL DE VILLE - Face au 42 QUAI DU PORT,43.2961387765145,5.3707713851323
6176,6176-CANTINI ROUET,CANTINI ROUET - FACE AU 27 AVENUE JULES CANTINI,43.284775983612235,5.385593763617925
2304,2304 - RÉPUBLIQUE MOISSON,REPUBLIQUE MOISSON - RUE DE LA REPUBLIQUE ANGLE RUE FRANCOIS MOISSON,43.30179774806541,5.369716218117023
1191,1191-CANEBIERE-ST FERREOL,CANEBIERE SAINT FERREOL - ANGLE CANEBIERE SAINT FERREOL,43.29620767061392,5.37693066220596
6114,6114-JULIEN BARTHELEMY,JULIEN BARTHELEMY - 9 RUE 3 FRERES BARTHELEMY,43.292604598053984,5.384138435260716
1264,1264 - CANEBIÈRE DUGOMMIER,CANEBIERE DUGOMMIER - LA CANEBIERE ANGLE BOULEVARD DUGOMMIER,43.29789631329341,5.381132215559973
2222,2222-151 LIBERATION,151 LIBERATION - 151 BOULEVARD DE LA LIBERATION,43.30143187524121,5.392179383331833
6206,6206-TOULON - MENPENTI,TOULON MENPENTI - ANGLE AVENUE DE TOULON ET RUE MENPENTI,43.284456097132846,5.392112767343369
5104,5104-CHAVE EUGÈNE PIERRE,CHAVE EUGENE PIERRE - BOULEVARD CHAVE ANGLE BOULEVARD EUGENE PIERRE,43.295363145406,5.390871390171412
1299,1299- ST CHARLES VOLTAIRE LIBERTÉ,SAINT CHARLES VOLTAIRE LIBERTE - BOULEVARD VOLTAIRE ANGLE BOULEVARD DE LA LIBERTE,43.30236655745069,5.383955032544848
5106,5106-JEAN MOULIN BAILLE,JEAN MOULIN BAILLE - BOULEVARD JEAN  MOULIN ANGLE BOULEVARD BAILLE,43.2902407800378,5.39960982405674
2200,2200-MUCEM,Bd du Littoral, 100 m avant le Mucem, devant l’entrée du parking Vieux Port Fort St Jean, direction vieux port,43.2984594666424,5.36291062831879
5220,5220-ROOSEVELT - ORAN,ROOSEVELT ORAN - 53 COURS FRANKLIN ROOSEVELT ANGLE RUE D'ORAN,43.29899195650368,5.388799115293999
8309,8309- PRADO DUVEEN,PRADO DUVEEN - 72 AVENUE DU PRADO,43.27654702249427,5.388799649683594
8265,8265- NÉGRESKO - PAULET,NEGRESKO PAULET - FACE AU 42 RUE NEGRESKO,43.269318556371154,5.389387542314263
2032,2032- DAMES  SCHUMANN,DAMES SCHUMANN - 96 BOULEVARD DES DAMES,43.30331167287617,5.366730359523051
1287,1287- STALINGRAD - RÉFORMÉS,STALINGRAD REFORMES - SQUARE STALINGRAD,43.29952097558015,5.385047448641554
8308,8308-PRADO LATIL,PRADO LATIL - 247 AVENUE DU PRADO,43.274352269730755,5.390405906592448
7153,7153-CORSE ST MAURICE,CORSE SAINT MAURICE - 28 AVENUE DE LA CORSE ANGLE RAMPE SAINT MAURICE,43.28946760889984,5.36370990786361
8078,8078-VIEILLE CHAPELLE,VIEILLE CHAPELLE - 35 AVENUE DE LA POINTE ROUGE,43.24789994774334,5.374447484757423
6348,6348 - ROME- SALVATOR-ITALIE,3 Boulevard Louis Salvator angle rue d'Italie,43.290978,5.381342
1224,1224-PLAINE - BIBLIOTHEQUE,PLAINE BIBLIOTHEQUE - 45 RUE DE LA BIBLIOTHEQUE,43.29582518327951,5.385996090720193
4022,4022-SAKAKINI FOCH,SAKAKINI FOCH - BOULAVARD SAKAKINI ANGLE AVENUE MARECHAL FOCH,43.29952274790985,5.401127142110414
1213,1213-GRIGNAN - MARCELLE PAUL,GRIGNAN MARCELLE PAUL - RUE GRIGNAN ANGLE RUE DE LA PAIX MARCELLE PAUL,43.291357465205536,5.373546945382951
