FID,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_l93,y_l93
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1589,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,2.1,ug.m-3,mensuelle,2019/05/01 00:00,2019/05/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1588,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,2.4,ug.m-3,mensuelle,2019/06/01 00:00,2019/06/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1587,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,1.9,ug.m-3,mensuelle,2019/07/01 00:00,2019/07/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1586,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,2.2,ug.m-3,mensuelle,2019/08/01 00:00,2019/08/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1585,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,2.1,ug.m-3,mensuelle,2019/09/01 00:00,2019/09/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1584,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,1.4,ug.m-3,mensuelle,2019/10/01 00:00,2019/10/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1583,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,1.6,ug.m-3,mensuelle,2019/11/01 00:00,2019/11/30 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1582,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,1.8,ug.m-3,mensuelle,2019/12/01 00:00,2019/12/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1581,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,1.5,ug.m-3,mensuelle,2020/01/01 00:00,2020/01/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-1580,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,,ug.m-3,mensuelle,2020/02/01 00:00,2020/02/29 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-157f,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,,ug.m-3,mensuelle,2020/03/01 00:00,2020/03/31 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel.fid-3ea6ee3c_17281caedb0_-157e,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,Périurbaine,industrielle,Dioxyde de soufre,1,0.8,ug.m-3,mensuelle,2020/04/01 00:00,2020/04/30 23:59,true,875751.23889722,6267655.43799859
